strategy,scene,queries,success_count,success_rate,avg_total_runtime_ms,loftr_trigger_rate
SuperGlue only,DUC1,179,159,0.888268156424581,376.2710899369552,0.0
SuperGlue only,DUC2,177,161,0.9096045197740112,355.34770511837917,0.0
LoFTR only,DUC1,179,162,0.9050279329608939,869.8535631527843,1.0
LoFTR only,DUC2,177,172,0.9717514124293786,479.6166446041526,1.0
SG Top20 -> LoFTR,DUC1,179,173,0.9664804469273743,465.3047407644296,0.12290502793296089
SG Top20 -> LoFTR,DUC2,177,173,0.9774011299435028,451.40596440898537,0.11299435028248588
SG Top40 -> LoFTR,DUC1,179,174,0.9720670391061452,549.4019743341265,0.11173184357541899
SG Top40 -> LoFTR,DUC2,177,173,0.9774011299435028,534.4274355872077,0.0903954802259887
