strategy,feature_cache,num_queries,success_count,success_rate,avg_total_runtime_ms,avg_sg_runtime_ms,avg_loftr_runtime_ms,loftr_trigger_count,loftr_trigger_rate,avg_sg_attempts,avg_loftr_attempts,db_feature_cache_count,db_feature_precompute_runtime_ms,final_stage_counts
SuperGlue only,False,356,320,0.898876404494382,365.8681710805283,365.8681710805283,0.0,0,0.0,6.935393258426966,0.0,0,0,"{""SuperGlue"": 320, ""failed"": 36}"
SuperGlue only + cache,True,356,320,0.898876404494382,230.8414151605606,230.8414151605606,0.0,0,0.0,6.935393258426966,0.0,2020,25676.961704390123,"{""SuperGlue"": 320, ""failed"": 36}"
LoFTR only,False,356,334,0.9382022471910112,675.8312749979871,0.0,675.8312749979871,356,1.0,0.0,6.230337078651686,0,0,"{""LoFTR"": 334, ""failed"": 22}"
SG Top5 -> LoFTR + cache,True,356,342,0.9606741573033708,448.9596968979753,99.5398272467212,349.41986965125403,79,0.22191011235955055,2.317415730337079,3.308988764044944,619,6808.461601380259,"{""LoFTR"": 65, ""SuperGlue"": 277, ""failed"": 14}"
SG Top10 -> LoFTR + cache,True,356,344,0.9662921348314607,430.30763426311626,128.42753342172298,301.8801008413933,62,0.17415730337078653,3.297752808988764,2.896067415730337,956,10193.796598818153,"{""SuperGlue"": 294, ""LoFTR"": 50, ""failed"": 12}"
SG Top20 -> LoFTR,False,356,346,0.9719101123595506,458.3943940933239,255.28681093991702,203.1075831534069,42,0.11797752808988764,4.73314606741573,1.9887640449438202,0,0,"{""SuperGlue"": 314, ""LoFTR"": 32, ""failed"": 10}"
SG Top20 -> LoFTR + cache,True,356,346,0.9719101123595506,374.5653480127862,170.37037470746847,204.19497330531772,42,0.11797752808988764,4.73314606741573,1.9887640449438202,1401,15383.787202415988,"{""SuperGlue"": 314, ""LoFTR"": 32, ""failed"": 10}"
SG Top40 -> LoFTR,False,356,347,0.9747191011235955,541.956768271754,362.93654103130314,179.02022724045085,36,0.10112359550561797,6.935393258426966,1.7443820224719102,0,0,"{""SuperGlue"": 320, ""LoFTR"": 27, ""failed"": 9}"
SG Top40 -> LoFTR + cache,True,356,347,0.9747191011235955,406.78245028588145,227.35702669446806,179.4254235914134,36,0.10112359550561797,6.935393258426966,1.7443820224719102,2020,21853.42049971223,"{""SuperGlue"": 320, ""LoFTR"": 27, ""failed"": 9}"
