strategy,scene,num_queries,success_count,success_rate,avg_total_runtime_ms,loftr_trigger_count,loftr_trigger_rate
Confidence dispatch + cache,DUC1,179,170,0.9497206703910615,266.02347765364044,61,0.3407821229050279
Confidence dispatch + cache,DUC2,177,166,0.9378531073446328,269.94856892660556,74,0.4180790960451977
Confidence then fixed + cache,DUC1,179,174,0.9720670391061452,413.7939854748074,62,0.3463687150837989
Confidence then fixed + cache,DUC2,177,173,0.9774011299435028,427.23327288145083,74,0.4180790960451977
Confidence then fixed strict + cache,DUC1,179,174,0.9720670391061452,394.4433150837595,62,0.3463687150837989
Confidence then fixed strict + cache,DUC2,177,173,0.9774011299435028,417.75813107346823,74,0.4180790960451977
